Metric,Value
Starting Investment,10000.0
Average End Value,10430.548877402556
Best Case 95%,17062.05852126825
Worst Case 5%,5755.51330554189
Value at Risk,4244.48669445811
Maximum Gain,35743.70662164038
Maximum Loss,2764.8385179037396
